Train time: 12+ hours

hidden_encode = [4, 8, 16, 32, 64, 64]
        pools_encode = [2, 2, 2, 2, 2, 2]
        pools_decode = [1,1,1,1,1,1]
        hidden_dense = [64, 64]
        n_latent = 64

Creating autoencoder network...
 - C:\Users\Nick\Desktop\Ava\Programs\GameAI\Emulator\data\pacman\network\AUTO_pacman_512_512_3_6_2_64
 - input shape: (?, 512, 512, 3)
 - encode: (?, 256, 256, 4)
 - encode: (?, 128, 128, 8)
 - encode: (?, 64, 64, 16)
 - encode: (?, 32, 32, 32)
 - encode: (?, 16, 16, 64)
 - encode: (?, 8, 8, 64)
 - flat: (?, 4096)
 - latent: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - reshaped: (?, 8, 8, 1)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 32)
 - decode: (?, 8, 8, 16)
 - decode: (?, 8, 8, 8)
 - decode: (?, 8, 8, 4)
 - dense: (?, 786432)
 - output: (?, 786432)
Created AUTO_pacman_512_512_3_6_2_64 network in 15.829691886901855

Training on data with iters
Iter 22400  Loss 3365.16528  IO 3267.49316  KL 76.00528
Iter 22500  Loss 2674.05615  IO 2604.32129  KL 72.16718
Iter 22600  Loss 2664.60693  IO 2604.38232  KL 58.38976
Iter 22700  Loss 2384.33643  IO 2325.98218  KL 55.58244
Iter 22800  Loss 2172.60986  IO 2119.23193  KL 55.06183
Iter 22900  Loss 2273.28101  IO 2221.71533  KL 56.73097
Iter 23000  Loss 2429.70874  IO 2376.92578  KL 55.30202
Iter 23100  Loss 2574.81812  IO 2513.08594  KL 57.08283
Iter 23200  Loss 2190.03613  IO 2126.82812  KL 56.07166
Iter 23300  Loss 2648.14746  IO 2597.19873  KL 56.57044
Iter 23400  Loss 2286.97559  IO 2222.82861  KL 56.26755
Iter 23500  Loss 2202.00562  IO 2147.63477  KL 55.62895
Iter 23600  Loss 2606.56348  IO 2534.03174  KL 63.13873
Iter 23700  Loss 2487.51904  IO 2404.02002  KL 68.96439
Iter 23800  Loss 2186.70605  IO 2124.03271  KL 60.69972
Iter 23900  Loss 2312.11572  IO 2257.11670  KL 54.85778
Iter 24000  Loss 2293.59277  IO 2238.34131  KL 54.88729
Iter 24100  Loss 2492.74902  IO 2435.86426  KL 55.18123
Iter 24200  Loss 2408.72827  IO 2354.74854  KL 54.48946
Iter 24300  Loss 2340.05298  IO 2290.35107  KL 53.83962
Iter 24400  Loss 2179.20312  IO 2123.08350  KL 55.25476
Iter 24500  Loss 2557.36377  IO 2493.69312  KL 56.96324
Iter 24600  Loss 2284.15137  IO 2222.90747  KL 56.78230
Iter 24700  Loss 3159.99756  IO 3089.09937  KL 75.84134
Iter 24800  Loss 2191.88599  IO 2130.87451  KL 58.88936
Iter 24900  Loss 2517.50879  IO 2461.28540  KL 54.97467
Iter 25000  Loss 2480.37500  IO 2425.52344  KL 53.73637
Iter 25100  Loss 2533.11279  IO 2478.17480  KL 53.59791
Iter 25200  Loss 2362.46606  IO 2307.95752  KL 53.16271
Iter 25300  Loss 2408.04590  IO 2357.92236  KL 53.38556
Iter 25400  Loss 2306.86963  IO 2261.48877  KL 54.61248
Iter 25500  Loss 2801.48022  IO 2743.01636  KL 65.12018
Iter 25600  Loss 2633.30664  IO 2568.61230  KL 60.11935
